Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,CAN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.748845879,0.728859922,0.72859458,0.686253586,0.665427224,0.651055925,0.648336821,0.631218036,0.610819555,0.583968502,0.570717891,0.540225041,0.540011693,0.531944023,0.495028331,0.468727418,0.435348095,0.439178642,0.410127314,0.398928108,0.393884164,0.383958144,0.372108411,0.357591828,0.346467274,0.350344282,0.331849492,0.321773673,0.312778359,0.302067436,0.287961499
Central Europe and the Baltics,CEB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.261159496,1.247079753,1.154409228,1.078636393,0.989288586,0.921184611,0.906760926,0.849830208,0.764982612,0.700542078,0.654143567,0.621405921,0.568887263,0.559505689,0.51271875,0.484318756,0.447393471,0.405379394,0.358347965,0.331629672,0.325768789,0.305262454,0.284086517,0.265004555,0.24628939,0.23890592,0.229744315,0.223198555,0.206675885,0.17979214,0.168062415
Switzerland,CHE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.226672642,0.233237297,0.228319038,0.212316797,0.20121329,0.200035156,0.197491097,0.184221637,0.183800713,0.179403351,0.16578661,0.165144163,0.154539327,0.157723499,0.152531159,0.14846819,0.131328051,0.113230521,0.109261674,0.106452297,0.106126565,0.090550021,0.089444468,0.087278766,0.076628744,0.072316587,0.070336833,0.067143729,0.062274965,0.059979152,0.056922238
Channel Islands,CHI,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.515743732,0.442574238,0.397907733,0.384818177,0.389428934,0.372850392,0.385933383,0.403550534,0.388485317,0.401985343,0.346904116,0.315846796,0.305681404,0.292533666,0.292445756,0.272773831,0.223173456,0.23196851,0.246565538,0.241223311,0.226564286,0.219020459,0.209482027,0.211369389,0.190022046,0.202861813,0.203621109,0.193254546,0.18109685,0.18857749,0.176220265
China,CHN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.950793554,1.829375515,1.64476901,1.543386082,1.398616914,1.377825438,1.223693973,1.124044315,1.064265705,0.949906049,0.908532312,0.864888812,0.839397704,0.871863834,0.89113127,0.883571748,0.840400861,0.778182667,0.716891436,0.698108278,0.684556525,0.670493271,0.630798744,0.616564038,0.585297655,0.55399343,0.526980726,0.507329211,0.486080645,0.459036473,0.450690817
Cote d'Ivoire,CIV,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.082410181,0.082217712,0.080022842,0.083553198,0.084888067,0.084425579,0.092704997,0.101956863,0.097031458,0.12948876,0.120601691,0.120631943,0.128594754,0.10272412,0.09984598,0.103052315,0.094288332,0.090155312,0.096610278,0.086309576,0.084045645,0.083824988,0.104823396,0.101761261,0.094010532,0.090735071,0.084412022,0.087909906,0.079020385,0.077481779,0.075565845
Cameroon,CMR,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.125960289,0.304264591,0.301740261,0.269653152,0.207580962,0.20017424,0.191683789,0.184329122,0.180427811,0.161725878,0.165687397,0.153760894,0.14425306,0.136045829,0.121782518,0.113109075,0.107285586,0.120577148,0.119947678,0.127797532,0.122408047,0.112476034,0.10802082,0.108928041,0.109441001,0.107444271,0.10634426,0.100802397,0.101719197,0.094664974,0.096822313
"Congo, Dem. Rep.",COD,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.104158052,0.060143337,0.056043457,0.080926339,0.096017977,0.089277518,0.095309232,0.099209693,0.099978663,0.094947123,0.077719657,0.074337912,0.074950957,0.08431523,0.074660282,0.077664582,0.073933509,0.073386072,0.069991531,0.066277996,0.064836231,0.067559806,0.061178369,0.073640729,0.081935485,0.046807695,0.031887876,0.032978897,0.03010045,0.030515529,0.029553922
"Congo, Rep.",COG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.391308077,0.368760667,0.344187324,0.292036714,0.231054519,0.279081301,0.315971236,0.322254872,0.364507937,0.377166895,0.376170383,0.345968428,0.211491334,0.240796557,0.246973742,0.272734337,0.271402202,0.245828012,0.238365428,0.235412822,0.23717679,0.225683704,0.184099102,0.189324974,0.184130349,0.239996151,0.268707645,0.234209628,0.269186834,0.294698613,0.316902167
